year,month,day,hour,latitude,longitude,depth,mag
2018,11,4,6,31.7416,-104.5739,5,2.6
2018,11,4,5,36.5467,-112.7977,5,2.5
2018,11,4,3,28.9886,-97.903,5,2.8
2018,11,3,16,36.6843333,-121.3143333,4.84,2.82
2018,11,3,14,40.297,-124.4356667,7.35,2.64
2018,11,2,20,39.2963,-114.6964,0,2.6
2018,11,2,19,36.6798333,-121.3051667,4.05,2.6
2018,11,2,17,36.6725,-121.3016667,5.6,2.94
2018,11,2,16,36.6725,-121.2971667,5.46,2.84
2018,11,2,16,45.8738,-111.4011,5,2.5
2018,11,2,16,36.6861667,-121.3178333,6.54,3.31
2018,11,2,15,36.672,-121.2966667,4.33,2.59
2018,11,2,15,36.6765,-121.3026667,5.48,2.96
2018,11,2,15,36.6763333,-121.303,5.27,3.55
2018,11,2,15,36.6775,-121.3038333,5.08,3.12
2018,11,2,13,36.6793333,-121.3055,2.61,3.56
2018,11,2,13,36.6866667,-121.317,5.47,2.9
2018,11,2,13,36.6828333,-121.3213333,5.52,3.09
2018,11,2,12,36.6801667,-121.3146667,6.48,4.11
2018,11,2,12,45.8628,-111.3636,4.15,2.5
2018,11,2,3,30.957,-103.4725,7.27,3.1
2018,11,2,3,35.2343,-97.7225,6.76,2.5
2018,11,1,16,35.927,-89.9261667,13.11,2.63
2018,11,1,10,38.0578333,-112.8108333,11.61,2.51
2018,11,1,6,36.234,-98.1635,5,2.5
2018,11,1,4,34.0456,-106.3369,8.54,3.2
2018,10,31,23,32.8871,-100.9162,5,3
2018,10,31,18,33.8691667,-116.8948333,12.99,2.66
2018,10,31,15,37.3831667,-121.7396667,6.38,2.66
2018,10,31,9,35.9569,-96.7606,6.18,2.7
2018,10,31,9,36.2118,-98.9145,6.83,2.5
2018,10,30,17,48.437,-122.5671667,5.63,2.89
2018,10,30,14,37.4786,-99.799,5,2.8
2018,10,30,8,38.0615,-112.798,11.67,3.56
2018,10,30,7,47.2545,-122.5416667,57.22,2.83
2018,10,30,0,37.3595,-121.7225,6.51,2.5
2018,10,29,10,35.2295,-97.7268,7.29,2.5
2018,10,29,5,36.0698333,-120.6445,3.28,2.96
2018,10,29,5,36.0738333,-120.6433333,4.91,3.31
2018,10,28,23,33.8796667,-119.3735,-0.1,2.85
2018,10,28,17,37.4241667,-121.6716667,4.99,2.78
2018,10,28,14,32.9043,-100.9065,4.87,3.1
2018,10,27,20,37.3911,-114.1085,6,2.5
2018,10,27,18,36.8073,-97.7918,6.89,2.6
2018,10,27,13,35.3913333,-118.5443333,4.64,3.07
2018,10,27,10,37.4941667,-110.515,6,3.41
2018,10,27,7,31.0968,-103.1135,5,2.9
2018,10,27,1,34.1358333,-117.7738333,5.84,2.93
2018,10,26,20,31.5915,-115.804,8.57,2.73
2018,10,26,19,31.3372,-103.4886,5,2.9
2018,10,26,1,45.8428,-111.4006,7.89,2.8
2018,10,25,10,35.9631,-97.2321,4.964,3
2018,10,25,9,35.4881667,-118.303,1.94,3.02
2018,10,25,0,33.1918333,-115.6115,2.36,2.85
2018,10,24,21,36.6015,-117.9796667,10.56,3.59
2018,10,24,20,40.7468333,-112.5813333,3.88,2.76
2018,10,24,4,31.859,-115.6158333,18.51,2.99
2018,10,24,4,40.8671667,-111.6633333,10.13,2.76
2018,10,23,16,31.9055,-115.8248333,8.35,2.84
2018,10,23,14,31.2693333,-115.6355,8.58,2.91
2018,10,23,14,35.2297,-97.7168,6.345,2.6
2018,10,23,11,34.0524,-97.4131,6.535,3.4
2018,10,23,9,34.624,-85.4253333,9.72,2.59
2018,10,22,18,36.2176,-98.9302,3.965,3.1
2018,10,22,14,48.9014,-112.5155,5.8,3.1
2018,10,22,11,37.636,-119.4321667,26.36,2.59
2018,10,22,11,40.6875,-124.09,23.92,2.64
2018,10,22,11,36.2715,-89.4448333,6.52,3.27
2018,10,22,6,37.4098333,-119.6053333,43.4,3.06
2018,10,21,21,44.3471667,-110.305,10.06,2.7
2018,10,20,17,35.2287,-97.7076,7.781,2.5
2018,10,20,13,35.3091,-101.7607,5,3.7
2018,10,20,12,34.0523,-97.422,4.185,2.7
2018,10,20,9,33.4878333,-116.783,2.82,2.55
2018,10,20,6,40.4075,-124.6388333,20.76,2.59
2018,10,20,1,40.5388333,-123.477,22.91,2.55
2018,10,19,14,35.2353,-97.7088,6.876,2.5
2018,10,19,10,36.289,-97.5072,5.884,2.7
2018,10,19,4,36.2776,-97.4957,5.45,2.6
2018,10,18,17,36.9681667,-121.6073333,3.82,2.58
2018,10,18,6,37.5213333,-118.1026667,2.07,2.61
2018,10,18,5,33.3113333,-116.345,14.03,2.58
2018,10,18,4,34.0441,-97.4082,6.684,2.6
2018,10,18,2,37.0792,-97.8202,7.25,2.5
2018,10,18,2,40.3725,-124.6028333,23.71,2.56
2018,10,17,23,37.08,-97.822,7.12,2.8
2018,10,17,22,33.7963333,-116.9673333,14.14,3.13
2018,10,17,21,40.5228333,-124.8446667,21.48,2.83
2018,10,17,17,30.6628,-114.194,10,4.1
2018,10,17,15,31.8023333,-114.6145,9.94,2.95
2018,10,17,14,40.5103333,-124.218,20.83,2.73
2018,10,17,10,41.8465,-112.6898333,2.44,2.75
2018,10,17,10,41.8421667,-112.691,5.24,2.8
2018,10,17,9,37.082,-97.8187,7.07,2.9
2018,10,17,1,45.8833,-111.3696,5,2.5
2018,10,16,21,36.849,-97.6782,6.331,2.7
2018,10,16,18,39.8806667,-112.0618333,6.53,2.68
2018,10,16,18,39.88,-112.0668333,9.82,2.91
2018,10,16,16,45.8447,-111.3781,5,3.3
2018,10,16,15,41.1563333,-123.4115,39.22,2.9
2018,10,15,2,35.8424,-97.3357,6.127,2.6
2018,10,15,2,40.7303333,-124.3593333,8.78,2.54
2018,10,14,13,33.9851667,-116.6505,17.85,2.62
2018,10,14,11,42.7782,-109.0654,5,3.1
2018,10,14,8,32.2083333,-115.049,15.73,2.88
2018,10,14,8,32.1628333,-115.0596667,19.15,3.29
2018,10,13,23,33.4898333,-116.8038333,2.84,3.3
2018,10,13,16,36.5806667,-121.1781667,5.58,2.71
2018,10,13,13,44.7476667,-111.0383333,6.82,2.62
2018,10,13,13,36.5803333,-121.177,6.22,3.17
2018,10,13,12,36.8571667,-121.5875,6.27,2.78
2018,10,13,11,36.5781667,-121.1753333,5.88,2.75
2018,10,13,2,34.0265,-118.9418333,8.93,2.59
2018,10,12,18,34.3383333,-117.7241667,5.19,3.05
2018,10,12,12,36.1097,-97.8394,4.251,2.5
2018,10,12,6,36.7149,-97.9597,7.06,2.7
2018,10,11,10,37.0817,-97.817,6.96,2.8
2018,10,11,4,32.8598333,-115.7471667,10.96,2.83
2018,10,11,0,40.2823333,-124.4978333,20.48,2.52
2018,10,10,23,36.8485,-97.6755,5.95,2.8
2018,10,10,20,40.637,-124.8138333,23.6,2.88
2018,10,10,17,35.402,-96.4787,3.344,2.6
2018,10,10,16,38.7491667,-122.7056667,0.99,2.63
2018,10,10,11,45.8679,-111.372,5,2.8
2018,10,10,10,35.6779,-97.0834,6.132,3.6
2018,10,10,8,38.838,-122.8208333,1.53,3.35
2018,10,9,22,46.1031667,-120.4206667,17.53,2.89
2018,10,9,22,36.842,-97.6888,2.542,3.5
2018,10,9,20,39.5177,-114.4847,7.3,2.7
2018,10,9,15,36.6962,-97.6806,3.797,2.7
2018,10,9,11,33.472,-116.7936667,4.61,2.88
2018,10,8,21,34.395,-119.2318333,2.65,2.98
2018,10,8,21,36.0675,-118,2.92,3.23
2018,10,8,5,34.6763333,-120.3031667,4.53,2.68
2018,10,8,4,36.1981,-97.8989,5,2.9
2018,10,8,1,32.6716667,-115.6466667,15.35,2.91
2018,10,7,9,41.799,-111.0101667,8.5,2.62
2018,10,7,6,31.1823,-103.2924,5,2.9
2018,10,6,22,36.2197,-98.9371,4.554,2.5
2018,10,6,20,39.3127,-119.9163,8.8,2.7
2018,10,6,20,43.7633,-105.3222,0,3.2
2018,10,6,19,45.1622,-106.8843,0,2.6
2018,10,6,19,43.5264,-105.3183,0,2.6
2018,10,6,19,43.5569,-105.368,0,3.1
2018,10,6,11,36.705,-97.6685,6.339,2.6
2018,10,5,22,36.4432,-98.7905,5.76,2.7
2018,10,5,13,36.7533333,-121.3536667,11.42,3.83
2018,10,5,11,44.3217,-114.8869,5,2.5
2018,10,4,18,32.7348333,-118.3008333,10.45,2.96
2018,10,4,17,32.7376667,-118.3026667,12.97,3.27
2018,10,4,13,37.3425,-115.0416,6.1,2.9
2018,10,4,11,32.7968333,-115.4501667,12.77,2.53
2018,10,4,10,32.8101667,-115.455,7.68,2.55
2018,10,4,8,44.7535,-110.9843333,9.78,2.69
2018,10,4,6,32.8111667,-115.4566667,11.91,2.52
2018,10,3,21,43.7318,-105.2684,0,3.3
2018,10,3,9,36.2204,-98.9368,5.54,3.3
2018,10,3,7,37.371,-97.984,5,3.5
2018,10,2,21,40.5864,-119.7358,0.9,2.8
2018,10,2,19,40.5602,-119.7346,4,2.6
2018,10,2,18,40.5931,-119.7187,1.8,2.6
2018,10,2,16,32.3743333,-115.4675,19.99,2.83
2018,10,2,16,32.3868333,-115.4616667,9.7,2.65
2018,10,2,10,36.2203,-98.9298,3.755,3
2018,10,2,8,40.4086667,-124.439,23,2.61
2018,10,2,5,35.9624,-97.2429,6.603,2.5
2018,10,1,21,36.532,-98.9761,6.552,2.9
2018,10,1,20,36.2244,-98.9376,6.106,2.7
2018,10,1,20,43.4827,-105.1796,0,3.4
2018,10,1,18,43.7635,-105.3215,0,3.3
2018,10,1,17,34.0013333,-117.0173333,15.87,3.48
2018,10,1,12,41.1393333,-123.2905,39.11,2.52
2018,10,1,4,35.9604,-97.2344,5.704,2.6
2018,10,1,0,37.1802,-97.4537,6.47,3
2018,10,1,0,42.0223333,-124.2715,16.22,2.99
2018,9,30,21,35.9641,-97.2406,4.91,2.9
2018,9,30,20,44.2085,-105.0897,0,2.9
2018,9,30,14,34.002,-117.0178333,16.33,3.61
2018,9,30,8,33.4963333,-116.8058333,3.55,2.52
2018,9,30,8,37.1805,-97.452,6.57,2.6
2018,9,29,19,37.1792,-97.4578,6.29,2.8
2018,9,29,18,37.1798,-97.455,6.26,2.8
2018,9,29,13,36.1974,-98.9253,5,2.7
2018,9,29,13,44.1695,-66.2656,22.76,2.5
2018,9,29,13,36.2072,-98.9187,6.61,2.8
2018,9,29,12,36.1793,-97.4823,5.48,3.4
2018,9,29,9,35.6726,-97.3901,6.056,2.6
2018,9,29,2,32.3476667,-115.184,28.67,4.41
2018,9,29,2,40.9931,-116.3849,0.5,2.5
2018,9,28,22,36.2048,-98.9249,6.479,2.9
2018,9,28,15,35.7771667,-118.2445,8.87,3.18
2018,9,28,10,39.6103,-118.0681,6.6,2.6
2018,9,28,7,35.0418,-97.5829,6.989,3
2018,9,27,13,34.9731667,-120.6993333,1.37,2.6
2018,9,27,6,35.9622,-97.2367,5.492,2.6
2018,9,27,3,35.9603,-97.2337,6.707,3.3
2018,9,27,1,36.2051,-98.921,6.133,3
