latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
30.7207,142.4339,10,150,3.265,1.35,8.8,1.9,0.22,6
40.7338,142.5527,46.17,124,1.131,0.59,6.5,6.5,0.059,84
23.9639,122.7428,32.75,75,0.557,0.77,4.8,1.7,0.06,27
37.6666,70.2368,12.8,46,0.603,0.95,2.9,4.7,0.096,37
11.3119,138.5937,46.4,123,15.296,0.78,12.2,6.3,0.092,36
42.2497,141.3709,106.96,87,1.349,0.52,6.5,9,0.09,36
22.8607,122.5433,18.57,98,1.263,0.71,5.3,4.5,0.069,20
44.1128,82.5453,10,59,2.687,0.98,2.6,1.9,0.091,36
30.5052,87.9351,10,87,2.721,0.84,5.7,1.8,0.109,24
24.3266,94.3004,64.4,101,0.096,0.68,6.2,4.3,0.124,18
23.9844,122.5164,22.11,186,0.659,0.28,5.3,6.3,0.145,14
46.4029,150.6558,93,129,6.946,1,10.9,7.1,0.033,286
31.3464,130.2914,153.81,95,1.841,0.7,5.7,6.6,0.08,46
39.2419,140.6631,147.12,137,1.374,0.59,5.9,9.6,0.19,8
32.9076,90.3416,10,88,3.264,1.19,9.8,1.9,0.064,74
29.2926,130.5364,35,115,3.16,0.76,8.5,2,0.055,101
37.7074,141.8806,35,129,0.879,1.08,5.9,1.9,0.239,5
48.5048,154.6224,36.74,104,5.004,0.51,11.2,10.2,0.162,11
19.9145,95.4886,10,162,1.68,0.68,5,2,0.272,4
29.2376,130.5301,36.22,108,3.115,0.88,5.7,5.2,0.073,18
29.2918,130.5495,20.13,108,3.167,0.54,6.1,3,0.06,102
28.6159,128.6625,135.57,78,1.806,0.44,8.9,8.6,0.088,37
44.4808,145.5972,13.17,134,2.187,0.66,8.4,5.8,0.091,35
19.7402,121.4412,10,119,3.08,1.02,10.7,1.9,0.137,15
10.6947,122.2499,55.88,46,3.621,0.88,7.2,6.2,0.049,133
10.8912,122.0537,31.51,104,5.152,0.84,8.6,5.7,0.063,77
33.6271,135.2732,38.72,73,1.169,0.63,5.4,4.1,0.075,17
13.482,145.5567,73.35,60,0.677,1,10.2,7.3,0.076,50
44.5474,145.6505,9,61,2.235,0.88,6.9,1.7,0.044,50
23.4899,143.3004,14.66,99,3.729,0.75,8.5,4.8,0.055,104
38.7402,141.9315,57.23,109,1.25,0.88,7.9,8.1,0.095,33
33.5619,89.3679,6.95,73,4.129,0.46,8.9,5,0.104,27
41.8346,141.4836,105.19,107,1.09,0.54,8.1,7.7,0.034,268
43.7001,86.1364,10,140,4.116,0.81,5,2,0.268,4
40.2457,77.6556,25,39,1.486,0.62,5.9,4.4,0.078,16
34.1017,83.9207,14.92,80,6.606,0.77,7.6,1.6,0.07,62
36.3246,141.9964,15.13,104,1.818,0.78,6.5,3.7,0.103,9
49.3485,148.0034,563.02,149,4.246,0.41,20.4,21.3,0.11,22
